Nombre_evento,mes,dia_inicio,dia_finalizacion,comunidad,municipio,macroregion,tipo-agenda,descripcion,tipo_evento,abierto/cerrado,foto
TALLER DE INSPIRACIÓN SOLE + WLH,marzo,22,22,La Piche,Toluviejo,Montes de María,Conmemoración nacional,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"WhatsApp Image 2022-03-22 at 1_32_51 PM.jpeg (https://dl.airtable.com/.attachments/cc432c9fff423f1fb68eb72128163bd4/c3d3db4e/WhatsAppImage2022-03-22at1_32_51PM.jpeg),WhatsApp Image 2022-03-22 at 1_32_53 PM.jpeg (https://dl.airtable.com/.attachments/e4372d49a2b7ff04f805304723fbae89/98b0161c/WhatsAppImage2022-03-22at1_32_53PM.jpeg),WhatsApp Image 2022-03-22 at 1_32_54 PM.jpeg (https://dl.airtable.com/.attachments/0a6977d25dc6ef4396d4e1a761472ce2/9b25a351/WhatsAppImage2022-03-22at1_32_54PM.jpeg),WhatsApp Image 2022-03-22 at 1_32_55 PM (2).jpeg (https://dl.airtable.com/.attachments/d36c49c51f71bd966a7f335aa425e595/46100d6c/WhatsAppImage2022-03-22at1_32_55PM2.jpeg),WhatsApp Image 2022-03-22 at 1_32_56 PM.jpeg (https://dl.airtable.com/.attachments/65e6eed7aa21c4d5b5d7292b15f9bbf7/1932e6dd/WhatsAppImage2022-03-22at1_32_56PM.jpeg),WhatsApp Image 2022-03-22 at 1_32_57 PM (1).jpeg (https://dl.airtable.com/.attachments/bb183351b8a3354740576d2e9bfffc72/da507194/WhatsAppImage2022-03-22at1_32_57PM1.jpeg),WhatsApp Image 2022-03-22 at 1_32_57 PM (2).jpeg (https://dl.airtable.com/.attachments/40e7e730d7f3ae176966599e7a15ac8b/b5f61aef/WhatsAppImage2022-03-22at1_32_57PM2.jpeg),WhatsApp Image 2022-03-22 at 1_32_57 PM.jpeg (https://dl.airtable.com/.attachments/d94b42bfd05ef1b8161927dbf8b7ceb0/32a56cf5/WhatsAppImage2022-03-22at1_32_57PM.jpeg),WhatsApp Image 2022-03-22 at 1_32_58 PM (1).jpeg (https://dl.airtable.com/.attachments/0aaec8d0c938f74b3b06f528fc0a5945/4e44aa9d/WhatsAppImage2022-03-22at1_32_58PM1.jpeg)"
Primer SOLE Toluviejo - La Piche,marzo,22,22,La Piche,Toluviejo,Montes de María,Conmemoración internacional,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,Formación,abierto,
Primer SOLE Colosó - Paraiso,marzo,23,23,Vereda Paraíso,Colosó,Montes de María,,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,,abierto,"20220323_085659 (1).jpg (https://dl.airtable.com/.attachments/c9c9345a7891e902914558722d9eb2cc/028d0e40/20220323_0856591.jpg),20220323_095418.jpg (https://dl.airtable.com/.attachments/dc78b22a15fc31c3fa401d93639df68e/ecb387d6/20220323_095418.jpg),20220323_095036.jpg (https://dl.airtable.com/.attachments/8cb1827c4deb4b77823e9f13fb9bf024/f1e14640/20220323_095036.jpg),20220323_093105.jpg (https://dl.airtable.com/.attachments/a9c3be92d14ed1a43e32e1dbad9a349a/4ce8d986/20220323_093105.jpg),20220323_092636.jpg (https://dl.airtable.com/.attachments/906e39fbd622250f1de79cc8a7d9878d/2d07783c/20220323_092636.jpg),20220323_085911.jpg (https://dl.airtable.com/.attachments/1561a1f54a1dd3d03a5ef83bb2012fed/5591aa22/20220323_085911.jpg),20220323_085813.jpg (https://dl.airtable.com/.attachments/9751795782c44af3e4b3d41dabd371dc/157687cf/20220323_085813.jpg),20220323_085810.jpg (https://dl.airtable.com/.attachments/0fe7e25322f244fb145e18a1c6e51ebb/93ea71e6/20220323_085810.jpg)"
Primer Sole Chalan - La Ceiba,marzo,23,23,Corregimiento La Ceiba,Chalán,Montes de María,Conmemoración internacional,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,Formación,abierto,"20220323_085659.jpg (https://dl.airtable.com/.attachments/b9aadfffa6a003376a24a0072d6175e0/008c793c/20220323_085659.jpg),20220323_085810.jpg (https://dl.airtable.com/.attachments/15ad3021c3878d21b830ac6c6ed5ab91/5d039d9a/20220323_085810.jpg),20220323_085813.jpg (https://dl.airtable.com/.attachments/c73bbbadad304ffbc9f9ccc36cd39fa6/0fbf82f6/20220323_085813.jpg),20220323_085911.jpg (https://dl.airtable.com/.attachments/d021cf22298b32428f3d8d91ed900ab1/b4a3cbca/20220323_085911.jpg),20220323_092636.jpg (https://dl.airtable.com/.attachments/299d47676fc1a60085f0dfbce9162ad0/8ae91eb6/20220323_092636.jpg),20220323_093105.jpg (https://dl.airtable.com/.attachments/63461e191d07070743b4c84671291a63/65048912/20220323_093105.jpg),20220323_095036.jpg (https://dl.airtable.com/.attachments/7252e5c9983e03596ceec0d4d71c508b/6a967c97/20220323_095036.jpg),20220323_095418.jpg (https://dl.airtable.com/.attachments/50f536c5b3c6e9430d0363c19f203eb8/2c6f15a5/20220323_095418.jpg)"
Encuentros diálogicos con grupos comunitarios,marzo,23,26,Isla de la Amargura,Cáceres,Bajo Cauca y Nordeste Antioqueño,Agenda cultural WLH,"Realización de espacios diálogicos para la sanación colectiva en el marco de la estrategia Hilando Juntos. Sesión SENTIR. Se realizá conforme a la metodologia construida desde la estrategia. Grupos de mujeres, grupo indígena y grupo de niños y niñas. ",Hilando Juntos,cerrado,
TALLER DE INSPIRACIÓN SOLE + WLH,marzo,24,24,Corregimiento San Pedro Consolado,San Juan Nepomuceno,Montes de María,Agenda cultural WLH,Los talleres de inspiración SOLE son talleres para aquellos quienes deseen ser embajadores en una de las comunidades focalizadas de WLH. Ellos durante este espacio recibirán el entrenamiento para poder ser embajadores y aSOLEAR su comunidad a través de la metodología de autoaprendizaje.,Formación,cerrado,"20220323_085659 (1).jpg (https://dl.airtable.com/.attachments/d5ba2d1521e25fac9461217ecc58d09d/ac277d9c/20220323_0856591.jpg),20220323_095418.jpg (https://dl.airtable.com/.attachments/b83e86857815cbaf9ece0320c4e3044a/3c9fd329/20220323_095418.jpg),20220323_095036.jpg (https://dl.airtable.com/.attachments/ac568304338c320df4b90fbd1fad1080/f24aeea0/20220323_095036.jpg),20220323_092636.jpg (https://dl.airtable.com/.attachments/060711319e2629df68089074cff0a7d9/6ee188ae/20220323_092636.jpg),20220323_085813.jpg (https://dl.airtable.com/.attachments/efb1a11de8dde23d7b08829801ffbfca/e4ef52ab/20220323_085813.jpg),20220323_093105.jpg (https://dl.airtable.com/.attachments/5e6d7663e007042d61418652611fe26e/c0ad8274/20220323_093105.jpg),20220323_085911.jpg (https://dl.airtable.com/.attachments/950f60c883f9b88891baa89994cf904f/a9411ec0/20220323_085911.jpg),20220323_085810.jpg (https://dl.airtable.com/.attachments/eed2e485163e5a1ce2ac7a83f4b1db72/88367f5d/20220323_085810.jpg)"
Primer SOLE San Juan - San Pedro Consolado,marzo,24,24,Corregimiento San Pedro Consolado,San Juan Nepomuceno,Montes de María,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,Formación,abierto,"20220324_145339.jpg (https://dl.airtable.com/.attachments/be1f62814b21f9fb66c6dd4d11d5b32e/0028c3f9/20220324_145339.jpg),WhatsApp Image 2022-03-24 at 5_12_29 PM (2).jpeg (https://dl.airtable.com/.attachments/7db0a358133fd9c29701a370845c1fa5/1f7854dd/WhatsAppImage2022-03-24at5_12_29PM2.jpeg),WhatsApp Image 2022-03-24 at 5_12_28 PM (3).jpeg (https://dl.airtable.com/.attachments/128b36c6eb411210192ca0a1f05294e0/c11d1315/WhatsAppImage2022-03-24at5_12_28PM3.jpeg),WhatsApp Image 2022-03-24 at 5_12_30 PM.jpeg (https://dl.airtable.com/.attachments/d13468f0884e5a574ebe79c4511c6ccf/f5525f6d/WhatsAppImage2022-03-24at5_12_30PM.jpeg),WhatsApp Image 2022-03-24 at 5_12_30 PM (1).jpeg (https://dl.airtable.com/.attachments/08f3570e95d1d9af5dca93a86da2461e/3a94a1a8/WhatsAppImage2022-03-24at5_12_30PM1.jpeg),WhatsApp Image 2022-03-24 at 5_12_28 PM (2).jpeg (https://dl.airtable.com/.attachments/b14b678ccaf445856fe3f6e85d3aa1f6/49610600/WhatsAppImage2022-03-24at5_12_28PM2.jpeg),WhatsApp Image 2022-03-24 at 5_30_51 PM.jpeg (https://dl.airtable.com/.attachments/7a3170ebd8b40f0f518504896901475c/3294723a/WhatsAppImage2022-03-24at5_30_51PM.jpeg)"
Primer SOLE San Jacinto - Casa de Piedra,marzo,25,25,Corregimiento Las Mercedes y vereda Casa de Piedra,San Jacinto,Montes de María,Agenda cultural WLH,Los SOLES son espacios abiertos a cualquier persona de la comunidad interesada en aprender a través de Grandes preguntas y el uso de Internet. Está a cargo de un embajador y cada sesión cuenta con un Capitán y una abuelita conectada remotamente. Puedes llevar algo de comer para compartir con los demás participantes. Bienvenidos.,Formación,abierto,"20220404_084919.jpg (https://dl.airtable.com/.attachments/dd8b1e4d5693037b707ca9d0229aa02e/911db8fa/20220404_084919.jpg),20220404_104602.jpg (https://dl.airtable.com/.attachments/b97f7db9d2ba29a56f81aedac3c5d072/3ce35b41/20220404_104602.jpg),20220404_085747.jpg (https://dl.airtable.com/.attachments/dc54ab0f5c78372cd0735e4e9913669b/fb8b901d/20220404_085747.jpg),20220404_100707.jpg (https://dl.airtable.com/.attachments/40ea94739bca9733e5cc35060bc7a231/812457a5/20220404_100707.jpg)"
Presentación Plan Integral ,marzo ,24,24,La Alsacia,Buenos Aires,Cauca y Valle del Cauca,Agenda cultural WLH,"En esta jornada se espera poder presentar a la comunidad de La Alsacia un Plan integral de trabajo que será discutido y adaptado.
",,cerrado,"WhatsApp Image 2022-04-20 at 1_43_39 PM.jpeg (https://dl.airtable.com/.attachments/3906757c556860d5b81991d21dfcebd1/c5ad9fb9/WhatsAppImage2022-04-20at1_43_39PM.jpeg),WhatsApp Image 2022-04-20 at 1_43_48 PM.jpeg (https://dl.airtable.com/.attachments/bc4cb61f474adca77c9f2a7923a3fce8/5529c940/WhatsAppImage2022-04-20at1_43_48PM.jpeg)"
Encuentro diálogico con grupos de duelos y hombres,marzo ,24,24,Corregimiento La Caucana,Tarazá,Bajo Cauca y Nordeste Antioqueño,Agenda cultural WLH,Realización de espacios diálogicos para la sanación colectiva en el marco de la estrategia Hilando Juntos.  Se realizá conforme a la metodologia construida desde la estrategia. ,Hilando Juntos,cerrado,
